"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","MeilleuresPistes"
"Jacques Brel & Céline Dion - Quand on n'a que l'amour.mp4","Quand on n'a que l'amour","Jacques Brel","19","/karaoke/Jacques%20Brel%20%26%20C%C3%A9line%20Dion%20-%20Quand%20on%20n'a%20que%20l'amour.mp4",,"96","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Jane Birkin - Di doo dah.mp4","Di doo dah","Jane Birkin","75","/karaoke/Jane%20Birkin%20-%20Di%20doo%20dah.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Jean-Jacques Goldman - Encore un matin.mp4","Encore un matin","Jean-Jacques Goldman","78","/karaoke/Jean-Jacques%20Goldman%20-%20Encore%20un%20matin.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Jean-Jacques Goldman - Envole-moi.mp4","Envole moi","Jean-Jacques Goldman","77","/karaoke/Jean-Jacques%20Goldman%20-%20Envole-moi.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Jean-Jacques Goldman - Quand la musique est bonne.mp4","Musique","France Gall","54","/karaoke/Jean-Jacques%20Goldman%20-%20Quand%20la%20musique%20est%20bonne.mp4",,"82","A VERIFIER MANUELLEMENT","NE PAS ECRIRE","France Gall / Musique (score 82)"
"Jeanne Mas - Toute première fois.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Joe Dassin - Et si tu n'existais pas.mp4","Et si tu n'existais pas","Joe Dassin","80","/karaoke/Joe%20Dassin%20-%20Et%20si%20tu%20n'existais%20pas.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Johnny Hallyday & Amel Bent - Je te promets.mp4","Je te promets","Johny","81","/karaoke/Johnny%20Hallyday%20%26%20Amel%20Bent%20-%20Je%20te%20promets.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Johnny Hallyday - J'ai oublié de vivre.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"johnny Hallyday - Laura.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Juliette Armanet - Le dernier jour du disco.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Keane - Somewhere Only We Know.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Kyo - Une dernière danse.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Lady Gaga - Always Remember Us This Way.mp4","Always remember us this way","Lady Gaga","84","/karaoke/Lady%20Gaga%20-%20Always%20Remember%20Us%20This%20Way.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Lara Fabian - Je suis malade.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Lara Fabian - Je t'aime.mp4","Je t'aime","Lara Fabian","85","/karaoke/Lara%20Fabian%20-%20Je%20t'aime.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Lilicub - Voyage en Italie.mp4","Voyage en italie","Lilicub","91","/karaoke/Lilicub%20-%20Voyage%20en%20Italie.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Lionel Richie - Hello.mp4","Hello","Lionel Richie","92","/karaoke/Lionel%20Richie%20-%20Hello.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Louane - Si t'étais là.mp4","Si t'étais là","Louane","93","/karaoke/Louane%20-%20Si%20t'%C3%A9tais%20l%C3%A0.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Louis Armstrong - What a Wonderful World.mp4","What a wonderful world","Louis Amstrong","95","/karaoke/Louis%20Armstrong%20-%20What%20a%20Wonderful%20World.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Manu Pilas - Bella Ciao.mp4","Bella Ciao","Manu Pilas","97","/karaoke/Manu%20Pilas%20-%20Bella%20Ciao.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Marguerite - Les filles, les meufs.mp4","Les filles les meufs","Marguerite","100","/karaoke/Marguerite%20-%20Les%20filles%2C%20les%20meufs.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Marine - Cœur maladroit.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Marine - Une fille ordinaire.mp4","Une fille ordinaire","Marine","99","/karaoke/Marine%20-%20Une%20fille%20ordinaire.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Maurane - Sur un prélude de Bach.mp4","Sur un prélude de bach","Maurane","101","/karaoke/Maurane%20-%20Sur%20un%20pr%C3%A9lude%20de%20Bach.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Mentissa - Et bam.mp4","Et bam","Mentissa","103","/karaoke/Mentissa%20-%20Et%20bam.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Michel Berger - Quelques mots d'amour.mp4","Quelques mots d'amour","Veronique Sanson","105","/karaoke/Michel%20Berger%20-%20Quelques%20mots%20d'amour.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Michel Delpech - Le chasseur.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Michel Delpech - Quand j'étais chanteur.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Michel Fugain - Chante comme si tu devais mourir demain.mp4","Chante comme si tu devais mourir demain","Michel Fugain","108","/karaoke/Michel%20Fugain%20-%20Chante%20comme%20si%20tu%20devais%20mourir%20demain.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Michel Fugain - Une belle histoire.mp4","Une belle histoire","Michel Fugain","104","/karaoke/Michel%20Fugain%20-%20Une%20belle%20histoire.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Miley Cyrus - Flowers.mp4","Flowers","Miley Cyrus","109","/karaoke/Miley%20Cyrus%20-%20Flowers.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Natalie Imbruglia - Torn.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Nicolas Peyrac - Je pars.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Nicole Kidman - One Day I'll Fly Away.mp4","One day i'll fly away","Moulin Rouge","112","/karaoke/Nicole%20Kidman%20-%20One%20Day%20I'll%20Fly%20Away.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Patricia Kaas - Il me dit que je suis belle.mp4","Il me dit que je suis belle","Patricia Kaas","116","/karaoke/Patricia%20Kaas%20-%20Il%20me%20dit%20que%20je%20suis%20belle.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Queen - The Show Must Go On.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Radiohead - Creep.mp4","Creep","Radiohead","124","/karaoke/Radiohead%20-%20Creep.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Renaud - Mistral gagnant.mp4","Mistral gagnant","Renaud","125","/karaoke/Renaud%20-%20Mistral%20gagnant.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
"Ritchie Valens - La Bamba.mp4","La  bamba","Richie Valens","127","/karaoke/Ritchie%20Valens%20-%20La%20Bamba.mp4",,"90","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE",""
