"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Score","Correspondance","Action","Details"
"Daniel Guichard - Mon vieux.mp4","Mon vieux","Daniel Guichard","34","/karaoke/Daniel%20Guichard%20-%20Mon%20vieux.mp4","/karaoke/Daniel%20Guichard%20-%20Mon%20vieux.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"DAVE   LETTRE A HELENE.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Diane Tell - Si j'étais un homme.mp4","Si j'étais un homme","Diane Tell","38","/karaoke/Diane%20Tell%20-%20Si%20j'%C3%A9tais%20un%20homme.mp4","/karaoke/Diane%20Tell%20-%20Si%20j'%C3%A9tais%20un%20homme.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Eddy Mitchell - Couleur menthe à l'eau.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Eddy Mitchell - La dernière séance.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Eddy Mitchell - Pas de boogie-woogie.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Ella Fitzgerald - Someone to Watch Over Me.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Elle voulait jouer cabaret - Patricia Kaas .mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Elton John - Your Song.mp4","Your song","Elton John","43","/karaoke/Elton%20John%20-%20Your%20Song.mp4","/karaoke/Elton%20John%20-%20Your%20Song.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Elvis Presley - Can't help falling in love.mp4","Can't help falling in love","Elvis Presley","45","/karaoke/Elvis%20Presley%20-%20Can't%20help%20falling%20in%20love.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"Et bam - MENTISSA.mp4","","","","","","0","AUCUNE CORRESPONDANCE","NE PAS ECRIRE",""
"Eurythmics - Sweet Dreams.mp4","Sweet dreams","Eurythmics","44","/karaoke/Eurythmics%20-%20Sweet%20Dreams.mp4","/karaoke/Eurythmics%20-%20Sweet%20Dreams.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"FRANCE GALL -  J'AI BESOIN DE VOUS .mp4","Besoin de vous","France Gall","50","/karaoke/FRANCE%20GALL%20-%20%20J'AI%20BESOIN%20DE%20VOUS%20.mp4",,"93","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 88 / Artiste 100"
"France Gall - Calypso.mp4","Calypso","France Gall","51","/karaoke/France%20Gall%20-%20Calypso.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Diego, libre dans sa tête.mp4","Diego, libre dans sa tête","France Gall","56","/karaoke/France%20Gall%20-%20Diego%2C%20libre%20dans%20sa%20t%C3%AAte.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Débranche.mp4","Débranche","France Gall","52","/karaoke/France%20Gall%20-%20D%C3%A9branche.mp4","/karaoke/France%20Gall%20-%20D%C3%A9branche.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Evidemment.mp4","Évidemment","France Gall","57","/karaoke/France%20Gall%20-%20Evidemment.mp4",,"100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - Il jouait du piano debout.mp4","Il jouait du piano debout","France Gall","55","/karaoke/France%20Gall%20-%20Il%20jouait%20du%20piano%20debout.mp4","/karaoke/France%20Gall%20-%20Il%20jouait%20du%20piano%20debout.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
"France Gall - La déclaration d'amour.mp4","La Déclaration d'amour","France Gall","49","/karaoke/France%20Gall%20-%20La%20d%C3%A9claration%20d'amour.mp4","/karaoke/France%20Gall%20-%20La%20d%C3%A9claration%20d'amour.mp4","100","CORRESPONDANCE SÛRE","A VERIFIER PUIS ECRIRE","Titre 100 / Artiste 100"
