"Fichier","TitreCatalogue","ArtisteCatalogue","SongId","VideoUrlProposee","VideoUrlActuelle","Correspondance","Action"
"","Je viens pas te parler d'amour","Daniel Guichard","35","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","La tendresse","Daniel Guichard","36","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Hélène","Dave","37","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je ne regrette rien","Edith Piaf","40","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Couleur menthe à l'eau","Eddie Mitchell","41","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Pas de boogie woogie","Eddie Mitchell","42","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Don't dream is over","Crowed House","31","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Can't help falling in love","Elvis Presley","45","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Besoin de vous","France Gall","50","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Calypso","France Gall","51","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Diego, libre dans sa tête","France Gall","56","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Évidemment","France Gall","57","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Si, maman si","France Gall","58","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Les gens bien élevés","France Gall","59","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","Je l'aime à mourir","Francis Cabrel","60","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","I maschi","Gianna Nannini","63","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","The winner takes it all","Abba","5","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","La boheme","Aznavour","7","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
"","L'hymne à l'amour","Piaf","120","",,"CATALOGUE SANS FICHIER LOCAL","A VERIFIER"
